Text,Question
How much of the earth s surface is permanently frozen,1
Where did Hillary Clinton graduate college,1
What should the oven be set at for baking Peachy Oat Muffins,1
Have you got the book?,1
Catch the brute!,0
Dont you get up then Nastasya went on compassionately  seeing that he was letting his feet down from the sofa,0
I was very heedless,0
cried Sonia  how is it possible now?,1
Could they care so much for  a ray of sunshine for the primeval forest the cold spring hidden away  in some unseen spot which the tramp had marked three years before and  longed to see again as he might to see his sweetheart dreaming of the  green grass round it and the bird singing in the bush?,1
You see what rich men we are!,0
Suddenly a bright  light flashed into his room,0
How much does it cost to have a tree planted by dialing  900  740-TREE,1
What did Svidrigaïlov say to you?,1
What is a Chinese `` spouting  bowl,1
No no it was a good thing you came cried Sonia,0
Beat her to death cried Mikolka its come to that,0
Nastasya the cook and only servant  was rather pleased at the lodgers mood and had entirely given up  sweeping and doing his room only once a week or so she would stray into  his room with a broom,0
What drink is formed of tequila  orange juice and galliano,1
Here a  cigarette!,0
-your felicitous  comparison he-he!,0
What is the best place to live in the world  considering climate  civilization,1
You are the only one to take her  part!,0
Razumihin was more than ecstatic and Raskolnikov  perceived it with repulsion,0
Razumihin said shaking his head in  perplexity,0
she told me to beg you,0
She stood a moment looked at  him uneasily and went out troubled,0
And mother wants to teach me French  for its time my education began,0
At that moment someone knocked three times at the door,0
They sat up  whispering till two oclock but the girl went to bed much earlier  amazed and rather sorrowful,0
But dont be uneasy,0
When was Christ born,1
Ill shoot!,0
Yes I!,0
What s the most common non-contagious disease in the world,1
There was a continual coming and going through the two gates and in the  two courtyards of the house,0
And what is a fashion book?,1
All that is mean slander,0
Oh but it was a long time ago!,0
You should respect the dead at least!,0
What German city do Italians call The Monaco of Bavaria,1
What was Jimmy Durante s theme song,1
Lie do-own!,0
Towards evening  this sensation usually began to weigh on him more heavily,0
Who has the only speaking role in `` Silent Movie,1
Ach Sonia!,0
No matter sir no matter!,0
Glancing however into the  kitchen and seeing a bucket half full of water on a bench he bethought  him of washing his hands and the axe,0
Raskolnikov asked himself  in amazement raising his head and looking with open eyes on Porfiry,0
What is the origin of `` Beauty is in the eye of the beholder,1
LUZHIN,0
And what I heard certainly was  rather strange,0
Yes formerly a student,0
I was frightened,0
And of course too he did love  Dounia in his own way; he already possessed her in his dreams--and all  at once!,0
Whole villages whole towns and peoples  went mad from the infection,0
I can almost hear  her,0
Why abuse  it?,1
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize,1
Ill  run to-day to the reading-room and ask for the number,0
What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors,1
What are all the rivers in Europe,1
Let him at least die in peace!,0
If I am so scared now what would it be if it somehow came to pass that  I were really going to do it?,1
squealed Luzhin,0
When was the NFL established,1
All at once he noticed a string on her neck; he tugged at it but  the string was strong and did not snap and besides it was soaked  with blood,0
How many people live in Tokyo,1
He knelt down in the middle of the square bowed down to the earth and  kissed that filthy earth with bliss and rapture,0
What are the requirements for becoming a citizen of Australia,1
Who was International Olympic Committee chairman at the 1936 Summer Games,1
A student then or formerly a student cried the clerk,0
Where does the US get most of its energy,1
Where is she?,1
Perhaps I shall some day make a name,0
I havent time for it,0
I did not know you  had only a room too,0
Each class has an equal  right to exist,0
the point is,0
Ah Rodion Romanovitch dont put too much faith in words perhaps  prison will not be altogether a restful place,0
And you mustnt suppose that  I didnt know for instance that if I began to question myself whether  I had the right to gain power--I certainly hadnt the right--or that if  I asked myself whether a human being is a louse it proved that it wasnt  so for me though it might be for a man who would go straight to his  goal without asking questions,0
Where can I find a case on Americans with Disabilities Act of 199,1
I have come for your cross Sonia,0
The policeman was bewildered and stared at him open-eyed,0
What Marx Brothers movie centers on a stolen painting,1
On no account!,0
If they or Nikolay alone had murdered them and broken open  the boxes or simply taken part in the robbery allow me to ask you one  question: do their state of mind their squeals and giggles and childish  scuffling at the gate fit in with axes bloodshed fiendish cunning  robbery?,1
I flattered her  shamelessly and as soon as I succeeded in getting a pressure of  the hand even a glance from her I would reproach myself for having  snatched it by force and would declare that she had resisted so that  I could never have gained anything but for my being so unprincipled,0
There was a sound of a heavy thud,0
He can have his dinner later,0
What is her profession,1
She was extremely glad to escape at last; she went away looking down  hurrying to get out of sight as soon as possible to walk the twenty  steps to the turning on the right and to be at last alone and then  moving rapidly along looking at no one noticing nothing to think to  remember to meditate on every word every detail,0
I changed with  Lizaveta: she gave me her cross and I gave her my little ikon,0
Ive broken with them completely,0
She was trembling in a real physical fever,0
How big is a baby bald eagle,1
How thin you are!,0
The more revolting the better,0
Why doesn t wwwanswerscom have any answers to my questions,1
You are talking and speechifying away but tell me would you kill the  old woman _yourself_?,1
A disgrace again youre a scandal to the whole street,0
Yes sir,0
Protect her!,0
Why does a wheel  eg a car tire  appear to spin in the opposite direction as it slows down,1
He felt that  he was losing his head that he was almost frightened so frightened  that if she were to look like that and not say a word for another half  minute he thought he would have run away from her,0
Not her shoes--that would be more or less in the  order of things but her stockings her stockings I have sold for drink!,0
Thats enough for me,0
She was gazing in stupefaction at her murdered sister white as a sheet  and seeming not to have the strength to cry out,0
On what date did Rosa Parks Become a symbol of the civil rights movement for refusing to give up her seat on the bus,1
And he thought of Sonia,0
But  when he reached the K---- Boulevard where two days before he had come  upon that girl his laughter suddenly ceased,0
Behind it  probably was the bed,0
Oh nothing--dont be uneasy,0
What is another word for diet,1
But the preparations to be made were few,0
Ah then you are lying!,0
When did Rococo painting and architecture flourish,1
In accordance with my theory?,1
You are going  to spend to-night in the landladys flat here,0
Both were watching each other  but when their eyes met quick as lightning they looked away,0
What drug is often used to treat AIDS patients,1
The staircase leading to the old  womans room was close by just on the right of the gateway,0
What does  she expect to live upon in Petersburg afterwards?,1
At last realising that he was engaged in this interesting pursuit he  started got up and walked resolutely out of the room,0
What does Ms  Miss  and Mrs stand for,1
What s comic strip photographer Peter Parker s secret identity,1
How many American soldiers have died for their country to date,1
Everyone ran out on to the stairs from all the  flats,0
I interrupted you!,0
Who claimed to be the world s most perfectly-developed man,1
He responds to everything and he forgot the elder and all that,0
There must have been numbers of them--almost all the inmates  of the block,0
At last faltering and continually glancing at her daughter she  confessed that she was exceedingly worried by one circumstance,0
When was the Parthenon built,1
Why do people shake hands to show friendliness,1
He could not believe it even now,0
thats the  way to learn not to!,0
The coffin will be plain of course,0
She was only fourteen but her heart was broken,0
From time to time he came across shop signs and read  each carefully,0
And you  could not have judged all the facts without being on the spot,0
She kept her head forgetting herself biting her trembling lips  and stifling the screams which were ready to break from her,0
How do you match a name to a social security number,1
What do the red-and-white stripes on a barbershop pole stand for,1
Information about the Mission of Project Gutenberg-tm    Project Gutenberg-tm is synonymous with the free distribution of  electronic works in formats readable by the widest variety of computers  including obsolete old middle-aged and new computers,0
I drink so that I may suffer  twice as much!,0
And  behold the dream of so many years was all but realised; the beauty and  education of Avdotya Romanovna had impressed him; her helpless position  had been a great allurement; in her he had found even more than he  dreamed of,0
come and ask for me,0
Lay them all aside,0
You have slept more than six hours,0
Shes most prepossessing,0
You wanted to avoid  gratitude I saw!,0
In spite of their predisposition to  obedience very many of them through a playfulness of nature sometimes  vouchsafed even to the cow like to imagine themselves advanced people  destroyers and to push themselves into the new movement and  this quite sincerely,0
Another minute passed,0
Do you see them then?,1
He tore himself away at last,0
how  despicable it all was!,0
What is a fear of motion,1
She sat down beside Raskolnikov; she made him a  hurried bow glancing curiously at him,0
A pack of nonsense!,0
Damn them!,0
What country is located at 13 degrees North latitude and 10 degrees East longitude,1
I have already taken a permanent that is our future flat he said  addressing Raskolnikov and I am having it done up,0
He rushed to the corner slipped his hand under the paper pulled the  things out and lined his pockets with them,0
I have  taken action and I will tell you why: solely madam solely owing  to your black ingratitude!,0
I shall go to Razumihins of course  but,0
he killed her too,0
What sport features snatches and clean jerks,1
What non-mechanical sport achieves the highest speeds,1
Damn them?,1
What was the infamous feat of Germany s U-2 submarine,1
I remember,0
Your  article is absurd and fantastic but theres a transparent sincerity  a youthful incorruptible pride and the daring of despair in it,0
It was the  furthest limit of self-abnegation at least so he interpreted it,0
And for a whole year I performed  my duties conscientiously and faithfully and did not touch this (he  tapped the jug with his finger) for I have feelings,0
He will be sure to have it for his wedding too!,0
Nastasya brought him  some food; he ate and drank with appetite almost with greediness,0
You see honoured sir these orphans of good family--I might even say of  aristocratic connections--and that wretch of a general sat eating  grouse,0
The  pale sombre face lighted up for a moment when his mother and sister  entered but this only gave it a look of more intense suffering in  place of its listless dejection,0
Now he has walked away a little and  is standing still pretending to make a cigarette,0
What is the only primate to lack pigment in the palms of its hands,1
Lizaveta I asked her for it,0
ah how unhappy!,0
How large is Missouri s population,1
And in the third place Ive come to  you with a direct and open proposition--that you should surrender  and confess,0
A new  overwhelming sensation was gaining more and more mastery over him  every moment; this was an immeasurable almost physical repulsion for  everything surrounding him an obstinate malignant feeling of hatred,0
What do opposite faces of a die always add up to,1
It began with the socialist  doctrine,0
Razumihin shouted suddenly as though he had  reflected and realised,0
The head clerk?,1
What are the most albums sold by one artist or band,1
Think  about it,0
Well if suddenly it all depended on  your decision whether he or they should go on living that is whether  Luzhin should go on living and doing wicked things or Katerina Ivanovna  should die?,1
Oh nothing--tea vodka herrings,0
Sofya Semyonovna corrected Raskolnikov,0
Where do the adventures of `` The Swiss Family Robinson  take place,1
Neither she nor Katerina Ivanovna had been able to get  mourning; Sonia was wearing dark brown and Katerina Ivanovna had on her  only dress a dark striped cotton one,0
Better later he added to comfort her,0
The door leading to the other  rooms or rather cupboards into which Amalia Lippevechsels flat was  divided stood half open and there was shouting uproar and laughter  within,0
How many Jews were executed in concentration camps during WWII,1
And where did my new  clothes come from?,1
What is Answerscom s address,1
What is the history of Spartacus  the Roman slave and gladiator,1
What is the chemical reactivity of helium,1
Who invented the radio,1
A rouble and a half and interest in advance if you like!,0
He had noticed it every  time he paced up and down the room,0
The daylight was  fading,0
That was all  Katerina Ivanovnas invention for she did not understand!,0
But dont blame  her dont blame her honoured sir dont blame her!,0
What do you think?,1
I know that very well,0
Everyone ought to be a gentleman and more than that,0
And  meanwhile perhaps it had struck six,0
Defend  her now at least!,0
him with pale face with burning eyes,0
Hi!,0
Who beat the landlady?,1
With hurried deference Luise Ivanovna fell to curtsying in all  directions and so curtsied herself to the door,0
They might well not see him; the house is a regular Noahs Ark said  the head clerk who was listening,0
Why do many Native American students not complete college,1
Are you going already?,1
I will have her go at a gallop!,0
Who shared a New York City apartment with Roger Maris the year he hit 61 home runs,1
Why wouldnt she gallop then?,1
How many colonies did Germany get to keep after World War I,1
No one looked at the subject from that point of view  then but thats the truly humane point of view I assure you,0
You have got rid of Marfa Petrovna too so they say?,1
He felt strangely attracted by the singing and all the noise and  uproar in the saloon below,0
For  though Katerina Ivanovna is full of generous feelings she is a spirited  lady irritable and short-tempered,0
What boxer s life story is titled Raging Bull,1
I couldnt do it I couldnt do it!,0
If anyone had come into his room then he would have  jumped up at once and screamed,0
What country is home to Heineken beer,1
What ocean surrounds the Maldive Islands,1
She was in great distress,0
Two young fellows in the cart were just getting whips ready to  help Mikolka,0
His heart was beating violently,0
said Raskolnikov suddenly,0
broke at last from Sonias  overburdened bosom,0
How many innings are there in a regulation softball game,1
If I had written the whole truth to you I dare say you would have  thrown up everything and have come to us even if you had to walk all  the way for I know your character and your feelings and you would not  let your sister be insulted,0
How many disks does each player have in a four-handed game of Crokinole,1
Allow me to observe he answered dryly that I dont consider myself  a Mahomet or a Napoleon nor any personage of that kind and not being  one of them I cannot tell you how I should act,0
Though Raskolnikov looked at Sonia as he said this he no longer cared  whether she understood or not,0
He certainly must make haste,0
Porfiry seemed to guess  his state of mind,0
I will stay with him cried Razumihin I wont leave him for a  moment,0
What s the International Lawn Tennis Challenge Trophy usually called,1
I reflected,0
What alloy do copper and tin form,1
shouted the tavern-keeper who was again  near them,0
Sonia cried in distress,0
I know him!,0
The revenue has not  fallen off; but,0
What are tonsils for,1
are you going?,1
No one knew  his name,0
Who wrote Unsafe at Any Speed,1
A right to crime?,1
What s the only mammal that can t jump,1
What crooner joined The Andrews Sisters for Pistol Packin Mama,1
What color were Ernest Hemingway s eyes,1
In what part of Africa is Mozambique located,1
And what should I say to them--that I murdered her but did not dare to  take the money and hid it under a stone?,1
Now Zossimov you may not  believe me that question was put literally in those words,0
All in one room?,1
Never mind he said I have come for this: I have no lessons,0
Which of the following was Rhodes Scholar,1
Who?,1
What country would you visit to ski in the Dolomites,1
All ran up and crowded around,0
Work,0
Where did the term `` 86  come from,1
Where is the massive North Korean nuclear complex located,1
We shall have time to speak freely of everything!,0
And here is money on the table thank God!,0
They all  crowded round Pyotr Petrovitch,0
what was there in that to be  proud of?,1
It struck him as strange and  grotesque that he should have stopped at the same spot as before  as though he actually imagined he could think the same thoughts be  interested in the same theories and pictures that had interested him,0
Who is Olive Oyl s brother,1
What carries sperm up into the pelvic region,1
What army was founded by William Booth and his wife Catherine,1
You are  ill,0
Take it my good man in Christs name,0
Will  you explain what you want?,1
Who told all in Ball Four,1
Why is it or can it be my  fancy?,1
Pulcheria Alexandrovna was emotional but not sentimental timid and  yielding but only to a certain point,0
I hear your  family have come?,1
What does RCA stand for,1
They were all relieved and in five minutes they were laughing,0
Ive been talking to him,0
The point is that I did actually cause your sister whom I  greatly respect some trouble and unpleasantness and so sincerely  regretting it I want--not to compensate not to repay her for the  unpleasantness but simply to do something to her advantage to show  that I am not after all privileged to do nothing but harm,0
mushrooms and cucumbers of  course you must not give him; hed better not have meat either and,0
Your sister  lay talking in her sleep all last night talking of nothing but you,0
Suddenly she leaned her  right hand on the parapet lifted her right leg over the railing then  her left and threw herself into the canal,0
In a computer  what does SCSI mean,1
Who was the first governor of West Virginia,1
Thats just how it was a voice in the crowd confirmed,0
Who else was considered for the role of Luke Skywalker when George Lucas was casting for Star Wars,1
he cried impudently why how could you standing by the  window see the note?,1
What are the Poconos,1
They resolved to wait and be patient,0
Didnt you know?,1
In all  this there is a mistake on your part,0
Excuse me excuse me; of course it would be rather difficult for  Katerina Ivanovna to understand but do you know that in Paris they have  been conducting serious experiments as to the possibility of curing the  insane simply by logical argument?,1
one word from you and he is saved,0
As for your cutting yourself off from us I dont  judge you I dont venture to judge you and forgive me for having  blamed you for it,0
Later on your sister herself may have a  notion,0
No no that cannot  be!,0
That threat to go away is equivalent to a threat to abandon  you both if you are disobedient and to abandon you now after summoning  you to Petersburg,0
Amalia Ivanovna ran about the room  shouting at the top of her voice that she was mistress of the house and  that Katerina Ivanovna should leave the lodgings that minute; then she  rushed for some reason to collect the silver spoons from the table,0
He could lie on the sofa,0
What did Benny Carter play,1
What are all the southern states of the US,1
Volunteers and financial support to provide volunteers with the  assistance they need is critical to reaching Project Gutenberg-tms  goals and ensuring that the Project Gutenberg-tm collection will  remain freely available for generations to come,0
What are the five richest countries in the world,1
Who was the 1st US President,1
CHAPTER II    It would be difficult to explain exactly what could have originated the  idea of that senseless dinner in Katerina Ivanovnas disordered brain,0
What do you think would not one tiny  crime be wiped out by thousands of good deeds?,1
And in her presence?,1
What did those  words mean?,1
That was sufficient to enable me to  ascertain that she is in a position--preternatural if one may so  express it,0
Have mercy on me my good friend,0
You  understand?,1
His head is badly injured  too,0
Almost beside him at the next table there was sitting a student whom he  did not know and had never seen and with him a young officer,0
Well now good-bye,0
Why I  told you,0
He picked up this piece of wood  in one of his wanderings in a courtyard where there was some sort of  a workshop,0
Is that the way to hide  things?,1
Yes by the way he cried seemingly suddenly delighted I  just remember what was I thinking of?,1
How observant you are!,0
she will understand,0
To-morrow evening I shall take him for a walk said Razumihin,0
Ill see you home,0
The question why he was now going to Razumihin agitated him even more  than he was himself aware; he kept uneasily seeking for some sinister  significance in this apparently ordinary action,0
Ah mother how can he answer all that at once?,1
What am I to do with these?,1
Did I want her crosses?,1
Well and thats enough I  think by way of a decorous _oraison funèbre_ for the most tender wife  of a most tender husband,0
And if I do tell her will you not try to see her?,1
Its hardly civil Porfiry Petrovitch but perhaps I  wont allow it!,0
Meanwhile the really _new_ people are very often  unobserved by them or even despised as reactionaries of grovelling  tendencies,0
And that proud suppressed enthusiasm in young people is  dangerous!,0
You rent this room from the Kapernaumovs?,1
How do you measure the heat of the sun,1
And  they are pleased pleased!,0
Now both eyes opened wide; they  turned a glowing shameless glance upon him; they laughed invited  him,0
Ill take you once more on my own  responsibility--thats what he said remember he said and now you  can go,0
You dont know what you ask; you are like a child!,0
But the  landlady is out of the question; its all right for me but its out of  the question for you: she wouldnt take you for shes,0
What is the West Virginia state animal,1
But  there was at first sight something so strange about the woman in front  of him that gradually his attention was riveted upon her at first  reluctantly and as it were resentfully and then more and more  intently,0
How many members are in the California congressional delegation,1
Do you think Im light-hearted?,1
Who was the conservationist who served as spokesperson for Post Grape Nuts,1
What are the components of polyester,1
He saw the point at once and knew where they  wanted to drive him,0
she cried noticing a crowd in the passage and the men  who were pushing into her room carrying a burden,0
What Scandinavian capital is built on nine bridge-connected islands,1
And you remember how Mr,0
They were already at the door; Porfiry was impatient for Raskolnikov to  be gone,0
I will look in again perhaps,0
And if He wont forgive me I dont care!,0
What is Black Hills  South Dakota most famous for,1
You are talking of the murder of the old pawnbroker I believe?,1
cried Razumihin,0
Someone else was approaching,0
What is the largest city in Germany,1
I am at  least twice as strong as you are and I have nothing to fear besides,0
Why  did he insult me I ask you?,1
They could not have refused me  so easily!,0
Tchebarov tried that,0
When was that?,1
The wasp has stung me,0
How much electricity does the brain need to work,1
its no good your staying,0
Hit her in the face in the eyes in the eyes cried Mikolka,0
Again an intense  almost unbearable joy overwhelmed him for an instant as it had in  the police-office,0
What golfer has been called Ohio Fats and Blobbo,1
When did you see them last?,1
What does seccession mean,1
in fact I saw someone else  there,0
He pulled off the blanket and lighted the candle,0
She didnt understand she didnt understand again!,0
Dont be uneasy I know all about it from  himself and I am not a gossip; I wont tell anyone,0
Why half a hundred  people meeting for such an object--what an idea!,0
Dounia darling if I am guilty forgive me (though I cannot be forgiven  if I am guilty),0
You see it is hot now,0
He made no answer,0
is not on the right path,0
When was the Big Thompson flood,1
Allow me  to ask you another question out of simple curiosity: have you ever spent  a night on a hay barge on the Neva?,1
What is `` Vocal Sampling,1
Raskolnikov looked sadly and expressively at him,0
I am ready to  ask pardon if I have been ill-mannered,0
And my eyes have only now been opened!,0
It is strange he said slowly as though struck by a new idea,0
There was only one stranger in the bar and a man I knew asleep  on a bench and our two boys,0
for theres nothing but  psychology to support his evidence--thats almost unseemly with his ugly  mug while you hit the mark exactly for the rascal is an inveterate  drunkard and notoriously so,0
Shaking  with feverish chill he bent down to examine the bed: there was nothing,0
I believe you said yesterday you would like to question me,0
What was the name of Captain Bligh s ship,1
give me such a parting message?,1
If only Id known what happened then  at the police station and that some wretch,0
Are you waiting for them?,1
What is the oldest building in the United States,1
I tell you I wont have it,0
How many penny-farthings are there on a Trivial Pursuit game board,1
She was not capable at that instant of noticing an unknown gentleman who  was watching her and following at her heels,0
Its shut up and the door newly painted,0
Where do quality drinks begin,1
God is merciful; look to the Most High for succour the priest began,0
asked one of the porters,0
